Nombre;Query1;Nombre_Archivo;Carpeta
Agricultura;@MinagriCL;MinisterioAgricultura;Ministerios
Bienes Nacionales;@MinisterioBBNN;MinisterioBienesNacionales;Ministerios
Cultura y las Artes;@culturas_cl;MinisterioCultura;Ministerios
Defensa Nacional;@mindefchile;MinisterioDefensa;Ministerios
Deporte;@MindepChile;MinisterioDeporte;Ministerios
Desarrollo Social;@mindesarrollo;MinisterioDesarrSocial;Ministerios
Economia Fomento y Turismo;@meconomia;MinisterioEconomia;Ministerios
Educacion;@Mineduc;MinisterioEducacion;Ministerios
Energia;@MinEnergia;MinisterioEnergia;Ministerios
Hacienda;@Min_Hacienda;MinisterioHacienda;Ministerios
Interior y Seguridad Publica;@min_interior;MinisterioInterior;Ministerios
Justicia y Derechos Humanos;@MinjuDDHH;MinisterioJusticia;Ministerios
Medio Ambiente;@MMAChile;MMAmbiente;Ministerios
Mineria;@MinMineria_cl;MinisterioMineria;Ministerios
Mujer y la Equidad de Genero;@MinMujeryEG;MinisterioMujer;Ministerios
Obras Publicas;@mop_chile;MinisterioObrasPublicas;Ministerios
Relaciones Exteriores;@Minrel_Chile;MinisterioRelExteriores;Ministerios
Salud;@ministeriosalud;MinisterioSalud;Ministerios
Secretariaa General de Gobierno;@segegob;MinisterioSecGralGobierno;Ministerios
Secretaria General de la Presidencia;@Segpres;MinisterioSecGralPResidencia;Ministerios
Trabajo y Prevision Social;@MintrabChile;MinisterioTrabajo;Ministerios
Transportes y Telecomunicaciones;@MTTChile;MinisterioTransportes;Ministerios
Vivienda y Urbanismo;@Minvu;MinisterioVivienda;Ministerios
Andres Chadwick;@andreschadwickp;AndresChadwick;Ministros
Consuelo Valdes Chadwick;@Consuelovaldesc;consuelovaldes;Ministros
Carolina schmidt;@CarolaSchmidtZ;carolinaschmidt;Ministros
Isabel Pla Jarufe;@isabelpla;IsabelPla;Ministros
Pauline Kantor;@kantor_pauline;PaulineKantor;Ministros
Marcela Cubillos Sigall;@mcubillossigall;MarcelaCubillos;Ministros
manalich;@jmanalich;manalich;Ministros
sichel;@sebastiansichel;sichel;Ministros
jobet;@jcjobet;jobet;Ministros
ribera;@TeodoroRiberaN;ribera;Ministros
Susana Jimenez Schuster;@susanajimenezs;SusanaJimenez;Ministros
Felipe Ward Edwards;@Felipeward;FelipeWard;Ministros
Gloria Hutt Hesse;@GloriaHutt;GloriaHutt;Ministros
Baldo Prokurica Prokurica;@bprokurica;BaldoProkurica;Ministros
Antonio Walker Prieto;@antoniowalkerp;AntonioWalker;Ministros
Cristian Monckeberg Bruner;@cmonckeberg;CristianMonckeberg;Ministros
Emilio Santelices Cuevas;@ESantelicesC;EmilioSantelices;Ministros
Juan Andres Fontaine Talavera;@jafontaine;JuanAndres;Ministros
Nicolas Monckeberg Diaz;@nmonckeberg;NicolasMonckeberg;Ministros
Hernan Larrain Fernandez;@HernanLarrainF;HernanLarrain;Ministros
Alfredo Moreno Charme;@amorenocharme;AlfredoMoreno;Ministros
Cecilia Perez Jara;@ceciperez1;CeciliaPerez;Ministros
Gonzalo Blumel Mac-Iver;@GBlumel;GonzaloBlumel;Ministros
Felipe Larrain Bascunan;@felipelarrain;FelipeLarrain;Ministros
Alberto Espina Otero;@albertoespina;AlbertoEspina;Ministros
Andres Couve;@acouvecorrea;AndresCouve;Ministros
pinera;@sebastianpinera;pinera;Ministros
LucasPalacios;@LucasPalaciosC;LucasPalacios;Ministros
IgnacioBriones;@ignaciobriones_;IgnacioBriones;Ministros
