Nombre;Query1;Nombre_Archivo;Carpeta
La tercera;@latercera;latercera;Prensa
La Cuarta;@lacuarta;lacuarta;Prensa
Las Ultimas Noticias;@lun;lun;Prensa
La Nacion;@nacioncl;nacioncl;Prensa
Publimetro;@PublimetroChile;publimetro;Prensa
El mercurio;@ElMercurio_cl;elmercurio;Prensa
La segunda;@La_Segunda;lasegunda;Prensa
El mostrador;@elmostrador;elmostrador;Prensa
The Clinic;@thecliniccl;theclinic;Prensa
Publimetro;@PublimetroChile;publimetro;Prensa
El Muro;@ElMuro_Digital;ElMuro_Digital;Prensa
Emol;@Emol;Emol;Prensa
CNN;@CNNChile;cnnchile;Prensa
TVN;@TVN;tvn;Prensa
Canal 13;@canal13;canal13;Prensa
Mega;@Mega;megavision;Prensa
Chilevision;@chilevision;chilevision;Prensa
La red;@LaRedTV;laredtv;Prensa
Radio Bio-Bio;@biobio;radiobiobio;Prensa
Radio Cooperativa;@Cooperativa;radiocooperativa;Prensa
ADN;@adnradiochile;adnradiochile;Prensa
Teletrece Radio;@Tele13_Radio;tele13radio;Prensa
Agricultura;@AgriculturaFM;agriculturafm;Prensa
Radio la clave;@radiolaclave;radiolaclave;Prensa
Megaplus;@MegaPlusCL;megaplus;Prensa
Diario Financiero;@Dfinanciero;diariofinanciero;Prensa
Radio Infinita;@infinitafm;radioinfinita;Prensa
Diario El Austral (Temuco);@AustralTemuco;AustralTemuco;Prensa
Cronica (Chillan);@CronicaChillan;CronicaChillan;Prensa
El Dinamo;@el_dinamo;el_dinamo;Prensa
El Centro (Talca);@diarioelcentro;diarioelcentro;Prensa
El Dia (Serena);@eldia_cl;eldia_cl;Prensa
El Siglo;@elsiglochile;elsiglochile;Prensa
Estrategia;@Estrategiacl;Estrategiacl;Prensa
Estrella de Arica;@EstrelladeArica;EstrelladeArica;Prensa
El Mercurio de Antofagasta;@mercurioafta;mercurioafta;Prensa
Soy Chile;@soychilecl;soychilecl;Prensa
Estrella de Iquique;@laestrellaiqq;laestrellaiqq;Prensa
El llanquihue (Pto Montt);@elllanquihue;elllanquihue;Prensa
El Mercurio de Valparaiso;@mercuriovalpo;mercuriovalpo;Prensa
Diario Austral (Valdivia);@austral_losrios;austral_losrios;Prensa
La Prensa Austral (Magallanes);@LaPrensAustral;LaPrensAustral;Prensa
Diario Atacama;@diarioatacama;diarioatacama;Prensa
El Rancaguino ;@elrancaguino;elrancaguino;Prensa
Diario Aysen;@diariodeaysen;diariodeaysen;Prensa
Radio Duna;@RadioDuna;RadioDuna;Prensa
Canal 24 Horas;@24HorasTVN;24HorasTVN;Prensa
Diario El Sur (Concepcion);@elsurcl;elsurcl;Prensa
Soy Arica;@soyarica;soyarica;Prensa
Soy Chiloe;@soychiloe;soychiloe;Prensa
Soy Iquique;@soyiquique;soyiquique;Prensa
Soy Puerto Montt;@soypuertomontt;soypuertomontt;Prensa
Soy Osorno;@soyosorno;soyosorno;Prensa
Soy Chillan;@soychillan;soychillan;Prensa
Soy Concepcion;@soyconcepcion;soyconcepcion;Prensa
Soy San Antonio;@soysanantonio;soysanantonio;Prensa
Soy Temuco;@soytemuco;soytemuco;Prensa
Soy Antofagasta;@soyantofagasta;soyantofagasta;Prensa
Soy Valparaiso;@soyvalparaiso;soyvalparaiso;Prensa
Soy Valdivia;@soyvaldiviacl;soyvaldiviacl;Prensa
Activa;@RadioActivaFm;RadioActivaFm;Prensa
Beethoven;@radiobeethoven;radiobeethoven;Prensa
Candela FM;@RadioCandelaCl;RadioCandelaCl;Prensa
Carabineros de Chile ;@radiocarab;radiocarab;Prensa
Carolina;@RadioCarolina;radiocarolina;Prensa
Cautiva;@radiocautiva;radiocautiva;Prensa
Concierto;@conciertoradio;radioconcierto;Prensa
Coraz�n FM;@RadioCorazonFM;RadioCorazonFM;Prensa
Coyhaique;@CoyhaiqueRadio;CoyhaiqueRadio;Prensa
Diario Cha?arcillo;@chanarcillo;chanarcillo;Prensa
Diario Concepci�n;@DiarioConce;DiarioConce;Prensa
Diario VI Regi�n;@diarioviregion;diarioviregion;Prensa
Disney;@RadioDisneyCHL;radiodisneychile;Prensa
El Andino;@diario_elandino;diario_elandino;Prensa
El Austral de Osorno;@austral_osorno;austral_osorno;Prensa
El Austral de Temuco;@AustralTemuco;AustralTemuco;Prensa
El Ciudadano;@El_Ciudadano;El_Ciudadano;Prensa
El C�ndor;@CondorDiario;CondorDiario;Prensa
El Conquistador FM;@FMConquistador;FMConquistador;Prensa
El Diario de Atacama;@Eldiarioatacama;Eldiarioatacama;Prensa
