"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x901814492","x1173020035872247809","2019-09-14 23:45:44","ateneacabre","@pach_mares @soycuauhtemoc @barriochinocdmx @Claudiashein @DuniaLudlow @nenulo @rosaicela_ @JoseLuisBeato @AlcCuauhtemocMx @GobCDMX @lasillarota @ShareniiGuzman @SSP_CDMX @SSCJesusOrta @PGJDF_CDMX @lopezobrador_ @AlfonsoDurazo Volvieron a invadir los ambulantes en @barriochinocdmx
Las mafias y líderes gobiernan las calles.
@Peaton_no <U+274E>  importa, la #Movilidad menos @andreslajous
Mañana será peor, con eso vuelven a instalarse y amenazar.
@TemistoclesVR
@MargaretSaldana
@Luis_diazdeleon https://t.co/HWwrXrX4U1","Twitter for Android","140",,,,"FALSE","TRUE","0","2",,,,,,,,,,,,,,"xc(""770608278"", x""294988291"", x""1229925510"", x""713801396508733440"", x""591361197"", x""158386089"", x""223717383"", x""992240977"", x""187575652"")","c(""5antaMerlina"", ""pach_mares"", ""soycuauhtemoc"", ""barriochinocdmx"", ""Claudiashein"", ""DuniaLudlow"", ""nenulo"", ""rosaicela_"", ""JoseLuisBeato"")","es",,,,,,,,,,,,,,,,"x1173010419029442560","@pach_mares @soycuauhtemoc @barriochinocdmx @Claudiashein @DuniaLudlow @nenulo @rosaicela_ @JoseLuisBeato @AlcCuauhtemocMx @GobCDMX @lasillarota @ShareniiGuzman @SSP_CDMX @SSCJesusOrta @PGJDF_CDMX @lopezobrador_ @AlfonsoDurazo Volvieron a invadir los ambulantes en @barriochinocdmx
Las mafias y líderes gobiernan las calles.
@Peaton_no <U+274E>  importa, la #Movilidad menos @andreslajous
Mañana será peor, con eso vuelven a instalarse y amenazar.
@TemistoclesVR
@MargaretSaldana
@Luis_diazdeleon https://t.co/HWwrXrX4U1","2019-09-14 23:07:32","Twitter for Android","0","2","x770608278","5antaMerlina","Santa Merlina","7413","5726","128081","Mundo mundial","Alegre <U+0001F923> Directa, sarcástica <U+0001F60F> en contra de las injusticias<U+0001F621>. 
Apoyando comunidad tuitera <U+0001F9D0><U+0001F4AA><U+0001F3FC>Welcome beautiful people <U+0001F1F2><U+0001F1FD>","FALSE",,,,,,,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)","https://twitter.com/ateneacabre/status/1173020035872247809","Atenea","Distrito Federal, México","Sonando México es una radio totalmente incluyente sin fines de lucro hablamos sin tapujos. #haciendotangiblelointangible",,"FALSE","252","330","1","2500","1339","2012-10-24 13:20:22","FALSE",,,,"https://pbs.twimg.com/profile_banners/901814492/1500569117","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1153154668744171521/BpaDFih4_normal.jpg"
"x2375819456","x1173014306037882880","2019-09-14 23:22:58","GaliaUribe","@pach_mares @soycuauhtemoc @barriochinocdmx @Claudiashein @DuniaLudlow @nenulo @rosaicela_ @JoseLuisBeato @AlcCuauhtemocMx @GobCDMX @lasillarota @ShareniiGuzman @SSP_CDMX @SSCJesusOrta @PGJDF_CDMX @lopezobrador_ @AlfonsoDurazo Volvieron a invadir los ambulantes en @barriochinocdmx
Las mafias y líderes gobiernan las calles.
@Peaton_no <U+274E>  importa, la #Movilidad menos @andreslajous
Mañana será peor, con eso vuelven a instalarse y amenazar.
@TemistoclesVR
@MargaretSaldana
@Luis_diazdeleon https://t.co/HWwrXrX4U1","Twitter for Android","140",,,,"FALSE","TRUE","0","2",,,,,,,,,,,,,,"xc(""770608278"", x""294988291"", x""1229925510"", x""713801396508733440"", x""591361197"", x""158386089"", x""223717383"", x""992240977"", x""187575652"")","c(""5antaMerlina"", ""pach_mares"", ""soycuauhtemoc"", ""barriochinocdmx"", ""Claudiashein"", ""DuniaLudlow"", ""nenulo"", ""rosaicela_"", ""JoseLuisBeato"")","es",,,,,,,,,,,,,,,,"x1173010419029442560","@pach_mares @soycuauhtemoc @barriochinocdmx @Claudiashein @DuniaLudlow @nenulo @rosaicela_ @JoseLuisBeato @AlcCuauhtemocMx @GobCDMX @lasillarota @ShareniiGuzman @SSP_CDMX @SSCJesusOrta @PGJDF_CDMX @lopezobrador_ @AlfonsoDurazo Volvieron a invadir los ambulantes en @barriochinocdmx
Las mafias y líderes gobiernan las calles.
@Peaton_no <U+274E>  importa, la #Movilidad menos @andreslajous
Mañana será peor, con eso vuelven a instalarse y amenazar.
@TemistoclesVR
@MargaretSaldana
@Luis_diazdeleon https://t.co/HWwrXrX4U1","2019-09-14 23:07:32","Twitter for Android","0","2","x770608278","5antaMerlina","Santa Merlina","7413","5726","128081","Mundo mundial","Alegre <U+0001F923> Directa, sarcástica <U+0001F60F> en contra de las injusticias<U+0001F621>. 
Apoyando comunidad tuitera <U+0001F9D0><U+0001F4AA><U+0001F3FC>Welcome beautiful people <U+0001F1F2><U+0001F1FD>","FALSE",,,,,,,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)","https://twitter.com/GaliaUribe/status/1173014306037882880","Sylvia Uribe","Ciudad de México ","Odio las injusticias y amo mi hermosa colonia Juárez",,"FALSE","208","85","0","12361","161","2014-03-06 19:39:03","FALSE",,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/755484566937219072/7WhkwvcX_normal.jpg"
"x770608278","x1173010419029442560","2019-09-14 23:07:32","5antaMerlina","@pach_mares @soycuauhtemoc @barriochinocdmx @Claudiashein @DuniaLudlow @nenulo @rosaicela_ @JoseLuisBeato @AlcCuauhtemocMx @GobCDMX @lasillarota @ShareniiGuzman @SSP_CDMX @SSCJesusOrta @PGJDF_CDMX @lopezobrador_ @AlfonsoDurazo Volvieron a invadir los ambulantes en @barriochinocdmx
Las mafias y líderes gobiernan las calles.
@Peaton_no <U+274E>  importa, la #Movilidad menos @andreslajous
Mañana será peor, con eso vuelven a instalarse y amenazar.
@TemistoclesVR
@MargaretSaldana
@Luis_diazdeleon https://t.co/HWwrXrX4U1","Twitter for Android","262","x1171133635493130242","x770608278","5antaMerlina","FALSE","FALSE","0","2","Movilidad",,,,,"http://pbs.twimg.com/media/EEdetvIUEAA_hhT.jpg","https://t.co/HWwrXrX4U1","https://twitter.com/5antaMerlina/status/1173010419029442560/photo/1","photo","c(""http://pbs.twimg.com/media/EEdetvIUEAA_hhT.jpg"", ""http://pbs.twimg.com/media/EEdevLFU0AAyzL8.jpg"")","c(""https://t.co/HWwrXrX4U1"", ""https://t.co/HWwrXrX4U1"")","c(""https://twitter.com/5antaMerlina/status/1173010419029442560/photo/1"", ""https://twitter.com/5antaMerlina/status/1173010419029442560/photo/1"")",,"xc(""294988291"", x""1229925510"", x""713801396508733440"", x""591361197"", x""158386089"", x""223717383"", x""992240977"", x""187575652"", x""883404438"", x""36100710"", x""152358615"", x""78046403"", x""62844209"", x""1150808544846856199"", x""561471584"", x""82119937"", x""211307172"", x""713801396508733440"", x""2539851636"", x""27967674"", x""11618552"", x""144004160"", x""84926410"")","c(""pach_mares"", ""soycuauhtemoc"", ""barriochinocdmx"", ""Claudiashein"", ""DuniaLudlow"", ""nenulo"", ""rosaicela_"", ""JoseLuisBeato"", ""AlcCuauhtemocMx"", ""GobCDMX"", ""lasillarota"", ""ShareniiGuzman"", ""SSP_CDMX"", ""SSCJesusOrta"", ""PGJDF_CDMX"", ""lopezobrador_"", ""AlfonsoDurazo"", ""barriochinocdmx"", ""Peaton_no"", ""andreslajous"", ""TemistoclesVR"", ""MargaretSaldana"", ""Luis_diazdeleon"")","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)","https://twitter.com/5antaMerlina/status/1173010419029442560","Santa Merlina","Mundo mundial","Alegre <U+0001F923> Directa, sarcástica <U+0001F60F> en contra de las injusticias<U+0001F621>. 
Apoyando comunidad tuitera <U+0001F9D0><U+0001F4AA><U+0001F3FC>Welcome beautiful people <U+0001F1F2><U+0001F1FD>","https://t.co/AkhQn5cGIZ","FALSE","7413","5726","61","128081","16012","2012-08-21 01:50:46","FALSE","https://t.co/AkhQn5cGIZ","http://www.youtube.com/user/5antaMerlina",,"https://pbs.twimg.com/profile_banners/770608278/1509554445","http://abs.twimg.com/images/themes/theme6/bg.gif","http://pbs.twimg.com/profile_images/925764738058878976/5oNwDNBE_normal.jpg"
"x56914764","x1172999991041961984","2019-09-14 22:26:05","aldivanny_Fai","@JoseCelisMX @MiMercadoCDMX @SedecoCDMX @JoseLuisBeato @nenulo @FadlalaAkabani @AlValdes1 @rinconsolar @h_hdz1 @IngeCastellanos Eso!","Twitter for iPhone","4","x1172999407421124608","x829227655836868610","JoseCelisMX","FALSE","FALSE","2","0",,,,,,,,,,,,,,"xc(""829227655836868610"", x""3739336572"", x""260796843"", x""187575652"", x""223717383"", x""491933707"", x""2968859045"", x""402361716"", x""738208663895048194"", x""2176097684"")","c(""JoseCelisMX"", ""MiMercadoCDMX"", ""SedecoCDMX"", ""JoseLuisBeato"", ""nenulo"", ""FadlalaAkabani"", ""AlValdes1"", ""rinconsolar"", ""h_hdz1"", ""IngeCastellanos"")","und",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)","https://twitter.com/aldivanny_Fai/status/1172999991041961984","aldivanny_Fai","","Ingeniero en Energia, egresado orgullosamente de la UAM-I, especializado en fenomenos de transporte aplicados a la energia solar. M.enI.",,"FALSE","970","1971","8","8721","7752","2009-07-15 03:42:00","FALSE",,,,"https://pbs.twimg.com/profile_banners/56914764/1446673567","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1133198696659783682/KKZzOFsk_normal.jpg"
"x56914764","x1172984453251108872","2019-09-14 21:24:21","aldivanny_Fai","@JoseCelisMX @MiMercadoCDMX @SedecoCDMX @JoseLuisBeato @nenulo @FadlalaAkabani @AlValdes1 @rinconsolar @h_hdz1 @IngeCastellanos Que quede rico ese pozole Pepé!","Twitter for iPhone","31","x1172983641036734464","x829227655836868610","JoseCelisMX","FALSE","FALSE","3","0",,,,,,,,,,,,,,"xc(""829227655836868610"", x""3739336572"", x""260796843"", x""187575652"", x""223717383"", x""491933707"", x""2968859045"", x""402361716"", x""738208663895048194"", x""2176097684"")","c(""JoseCelisMX"", ""MiMercadoCDMX"", ""SedecoCDMX"", ""JoseLuisBeato"", ""nenulo"", ""FadlalaAkabani"", ""AlValdes1"", ""rinconsolar"", ""h_hdz1"", ""IngeCastellanos"")","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)","https://twitter.com/aldivanny_Fai/status/1172984453251108872","aldivanny_Fai","","Ingeniero en Energia, egresado orgullosamente de la UAM-I, especializado en fenomenos de transporte aplicados a la energia solar. M.enI.",,"FALSE","970","1971","8","8721","7752","2009-07-15 03:42:00","FALSE",,,,"https://pbs.twimg.com/profile_banners/56914764/1446673567","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1133198696659783682/KKZzOFsk_normal.jpg"
"x829227655836868610","x1172999407421124608","2019-09-14 22:23:46","JoseCelisMX","@aldivanny_Fai @MiMercadoCDMX @SedecoCDMX @JoseLuisBeato @nenulo @FadlalaAkabani @AlValdes1 @rinconsolar @h_hdz1 @IngeCastellanos Cómo no va a quedar buenisimo si tiene productos frescos, de muy buena calidad y además que apoyan la Economía Local ? <U+0001F601>","Twitter for iPhone","120","x1172984453251108872","x56914764","aldivanny_Fai","FALSE","FALSE","2","0",,,,,,,,,,,,,,"xc(""56914764"", x""3739336572"", x""260796843"", x""187575652"", x""223717383"", x""491933707"", x""2968859045"", x""402361716"", x""738208663895048194"", x""2176097684"")","c(""aldivanny_Fai"", ""MiMercadoCDMX"", ""SedecoCDMX"", ""JoseLuisBeato"", ""nenulo"", ""FadlalaAkabani"", ""AlValdes1"", ""rinconsolar"", ""h_hdz1"", ""IngeCastellanos"")","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/bfc35dcc7e63252a.json","Cuauhtémoc","Cuauhtémoc, Distrito Federal","city","Mexico","MX","c(NA, NA)","c(NA, NA)","c(-99.1843501, -99.122382, -99.122382, -99.1843501, 19.3998346, 19.3998346, 19.4658366, 19.4658366)","https://twitter.com/JoseCelisMX/status/1172999407421124608","Jose Celis","México","Renewable Energy and Energy Efficiency Consultant. <U+0001F31E> #ACYPL #ASME #ANES #ISES #AEE <U+0001F4C8> President ANES CDMX.",,"FALSE","1141","354","6","5508","13720","2017-02-08 07:17:34","FALSE",,,,"https://pbs.twimg.com/profile_banners/829227655836868610/1540873828",,"http://pbs.twimg.com/profile_images/829231032620683264/1lPWn_If_normal.jpg"
"x829227655836868610","x1172983641036734464","2019-09-14 21:21:07","JoseCelisMX","Siempre barato en @MiMercadoCDMX. Apoyando la #EconomiaSocial. <U+0001F31E> @SedecoCDMX @JoseLuisBeato @nenulo @FadlalaAkabani @AlValdes1 https://t.co/YnrAS4eQMX","Twitter for iPhone","126",,,,"FALSE","FALSE","7","0","EconomiaSocial",,,,,"http://pbs.twimg.com/media/EEdGYryXsAY32ea.jpg","https://t.co/YnrAS4eQMX","https://twitter.com/JoseCelisMX/status/1172983641036734464/photo/1","photo","http://pbs.twimg.com/media/EEdGYryXsAY32ea.jpg","https://t.co/YnrAS4eQMX","https://twitter.com/JoseCelisMX/status/1172983641036734464/photo/1",,"xc(""3739336572"", x""260796843"", x""187575652"", x""223717383"", x""491933707"", x""2968859045"")","c(""MiMercadoCDMX"", ""SedecoCDMX"", ""JoseLuisBeato"", ""nenulo"", ""FadlalaAkabani"", ""AlValdes1"")","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/bfc35dcc7e63252a.json","Cuauhtémoc","Cuauhtémoc, Distrito Federal","city","Mexico","MX","c(NA, NA)","c(NA, NA)","c(-99.1843501, -99.122382, -99.122382, -99.1843501, 19.3998346, 19.3998346, 19.4658366, 19.4658366)","https://twitter.com/JoseCelisMX/status/1172983641036734464","Jose Celis","México","Renewable Energy and Energy Efficiency Consultant. <U+0001F31E> #ACYPL #ASME #ANES #ISES #AEE <U+0001F4C8> President ANES CDMX.",,"FALSE","1141","354","6","5508","13720","2017-02-08 07:17:34","FALSE",,,,"https://pbs.twimg.com/profile_banners/829227655836868610/1540873828",,"http://pbs.twimg.com/profile_images/829231032620683264/1lPWn_If_normal.jpg"
"x195619008","x1172884552303468544","2019-09-14 14:47:23","soyPabloCuevas","Si eres un citadino buscando ahorrar en #energía, o eres un empresario de #EnergíaSolar,  ve nuevamente #EnContexto y entérate sobre #CiudadSolar con @JoseLuisBeato de @SedecoCDMX . @CFEmx @GobCDMX https://t.co/AxRfwLPe42","Twitter for Android","140",,,,"FALSE","TRUE","0","8","c(""energía"", ""EnergíaSolar"", ""EnContexto"")",,,,,,,,,,,,,"x72393727","ADNOpinion","es",,,,,,,,,,,,,,,,"x1172637076463898624","Si eres un citadino buscando ahorrar en #energía, o eres un empresario de #EnergíaSolar,  ve nuevamente #EnContexto y entérate sobre #CiudadSolar con @JoseLuisBeato de @SedecoCDMX . @CFEmx @GobCDMX https://t.co/AxRfwLPe42","2019-09-13 22:24:00","TweetDeck","12","8","x72393727","ADNOpinion","ADN Opinión","41665","1567","143522","TV AZTECA","Hoy más que nunca, todos necesitamos saber más, entender más, conocer más.  Entender todos los ángulos para generar una idea propia.","TRUE",,,,,,,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)","https://twitter.com/soyPabloCuevas/status/1172884552303468544","Pablo Cuevas","","Coordinador del proyecto @misol_mx",,"FALSE","492","361","7","1776","1839","2010-09-27 04:31:53","FALSE",,,,"https://pbs.twimg.com/profile_banners/195619008/1532825176","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/862513321873874944/BoLlPoXk_normal.jpg"
"x981753162414546944","x1172873937228685312","2019-09-14 14:05:12","JUANMAN10451148","@GGroxanaaguirre @SEPICDMX @SedecoCDMX @GobCDMX @Claudiashein @JoseLuisBeato @civicomexico @XimenaSalaxar @JairSalarich @Mika_Ellie @MujerEsYA @Juancarlosmeade @lucho_delagente @elalexsalas Felicidades una etapa muy importante en la fase de un proyecto  una estrategia  que genera la viabilidad del mismo","Twitter for Android","114","x1172625680766574592","x1873522334","GGroxanaaguirre","FALSE","FALSE","0","0",,,,,,,,,,,,,,"xc(""1873522334"", x""1069143660"", x""260796843"", x""36100710"", x""591361197"", x""187575652"", x""2562130771"", x""845838148731109376"", x""312116847"", x""427911581"", x""830956857367859201"", x""65291723"", x""450508511"", x""1140916543116775424"")","c(""GGroxanaaguirre"", ""SEPICDMX"", ""SedecoCDMX"", ""GobCDMX"", ""Claudiashein"", ""JoseLuisBeato"", ""civicomexico"", ""XimenaSalaxar"", ""JairSalarich"", ""Mika_Ellie"", ""MujerEsYA"", ""Juancarlosmeade"", ""lucho_delagente"", ""elalexsalas"")","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)","https://twitter.com/JUANMAN10451148/status/1172873937228685312","JUAN MANUEL VALDEZ","Comunidades yaquis sonora","Ing. Agrónomo en administración agropecuaria producción de trigos harineros y ganadería extensiva  nacido en potam río yaqui sonora orgullosamente",,"FALSE","61","413","0","850","322","2018-04-05 04:39:28","FALSE",,,,,,"http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"x981753162414546944","x1172729115473928193","2019-09-14 04:29:44","JUANMAN10451148","@SedecoCDMX @GGroxanaaguirre @MueveMX @GobCDMX @Claudiashein @JoseLuisBeato @lucho_delagente @carlosmgturismo Perfecto incluyen a la ciudad de México con energía solar  generando bajo costos a la comunidad  como  un resultado favorable","Twitter for Android","125","x1172601099855024128","x260796843","SedecoCDMX","FALSE","FALSE","2","0",,,,,,,,,,,,,,"xc(""260796843"", x""1873522334"", x""1095476195314012161"", x""36100710"", x""591361197"", x""187575652"", x""450508511"", x""192276209"")","c(""SedecoCDMX"", ""GGroxanaaguirre"", ""MueveMX"", ""GobCDMX"", ""Claudiashein"", ""JoseLuisBeato"", ""lucho_delagente"", ""carlosmgturismo"")","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)","https://twitter.com/JUANMAN10451148/status/1172729115473928193","JUAN MANUEL VALDEZ","Comunidades yaquis sonora","Ing. Agrónomo en administración agropecuaria producción de trigos harineros y ganadería extensiva  nacido en potam río yaqui sonora orgullosamente",,"FALSE","61","413","0","850","322","2018-04-05 04:39:28","FALSE",,,,,,"http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
